ID,Name,Cost_for_one,Cuisines,Rating
65,Vijayalakshmi,200,South Indian,4
65,Vijayalakshmi,200, Chinese,4
65,Vijayalakshmi,200, North Indian,4
65,Vijayalakshmi,200, Sichuan,4
66,Baskin Robbins,200,Ice Cream,4.4
66,Baskin Robbins,200, Desserts,4.4
67,Cakewala,200,Bakery,4.3
67,Cakewala,200, Desserts,4.3
68,Call Me Chow,200,Chinese,4.2
68,Call Me Chow,200, Japanese,4.2
68,Call Me Chow,200, Thai,4.2
68,Call Me Chow,200, Indonesian,4.2
68,Call Me Chow,200, Asian,4.2
70,M.M.A Kabab and Rolls,100,North Indian,3.7
70,M.M.A Kabab and Rolls,100, Mughlai,3.7
70,M.M.A Kabab and Rolls,100, Chinese,3.7
70,M.M.A Kabab and Rolls,100, Kebab,3.7
70,M.M.A Kabab and Rolls,100, Rolls,3.7
70,M.M.A Kabab and Rolls,100, Seafood,3.7
70,M.M.A Kabab and Rolls,100, Arabian,3.7
70,M.M.A Kabab and Rolls,100, Biryani,3.7
71,Chaatimes,100,Street Food,3.7
71,Chaatimes,100, Fast Food,3.7
72,Starbucks Coffee,100,Cafe,3.8
72,Starbucks Coffee,100, Beverages,3.8
72,Starbucks Coffee,100, Desserts,3.8
73,RNR Biryani - Taste Of 1953,100,Biryani,4.3
73,RNR Biryani - Taste Of 1953,100, South Indian,4.3
73,RNR Biryani - Taste Of 1953,100, Desserts,4.3
73,RNR Biryani - Taste Of 1953,100, Beverages,4.3
73,RNR Biryani - Taste Of 1953,100, Andhra,4.3
74,Kaati Zone Rolls and Wraps,100,Rolls,4.1
74,Kaati Zone Rolls and Wraps,100, Fast Food,4.1
74,Kaati Zone Rolls and Wraps,100, Beverages,4.1
74,Kaati Zone Rolls and Wraps,100, Wraps,4.1
74,Kaati Zone Rolls and Wraps,100, Desserts,4.1
74,Kaati Zone Rolls and Wraps,100, Shake,4.1
75,Punjabi Nawabi,100,North Indian,3.7
75,Punjabi Nawabi,100, Biryani,3.7
75,Punjabi Nawabi,100, Mughlai,3.7
75,Punjabi Nawabi,100, Chinese,3.7
75,Punjabi Nawabi,100, Kebab,3.7
76,Shree Mahalakshmi Sweets,100,Mithai,4.2
76,Shree Mahalakshmi Sweets,100, Street Food,4.2
77,BOX8 - Desi Meals,100,North Indian,4.3
77,BOX8 - Desi Meals,100, Wraps,4.3
77,BOX8 - Desi Meals,100, Fast Food,4.3
77,BOX8 - Desi Meals,100, Biryani,4.3
77,BOX8 - Desi Meals,100, Desserts,4.3
77,BOX8 - Desi Meals,100, Beverages,4.3
78,Chaat Street,100,Street Food,4
78,Chaat Street,100, Fast Food,4
78,Chaat Street,100, North Indian,4
78,Chaat Street,100, Beverages,4
79,Smoor,100,Cafe,4
79,Smoor,100, Fast Food,4
79,Smoor,100, Salad,4
79,Smoor,100, Desserts,4
79,Smoor,100, Beverages,4
80,Madeena Hotel,100,Biryani,4
80,Madeena Hotel,100, Kebab,4
80,Madeena Hotel,100, North Indian,4
81,Taco Bell,150,Mexican,4
81,Taco Bell,150, Fast Food,4
81,Taco Bell,150, Wraps,4
81,Taco Bell,150, Beverages,4
82,Sri Udupi Park,150,South Indian,4
82,Sri Udupi Park,150, North Indian,4
82,Sri Udupi Park,150, Chinese,4
82,Sri Udupi Park,150, Street Food,4
82,Sri Udupi Park,150, Beverages,4
82,Sri Udupi Park,150, Ice Cream,4
82,Sri Udupi Park,150, Shake,4
83,Meat And Eat,150,Burger,4
83,Meat And Eat,150, Sandwich,4
83,Meat And Eat,150, Fast Food,4
83,Meat And Eat,150, Wraps,4
83,Meat And Eat,150, Biryani,4
83,Meat And Eat,150, Beverages,4
83,Meat And Eat,150, Desserts,4
84,Zomoz - The Momo Company,150,Momos,3.9
84,Zomoz - The Momo Company,150, Fast Food,3.9
85,Mad Over Donuts,150,Desserts,4.1
85,Mad Over Donuts,150, Waffle,4.1
85,Mad Over Donuts,150, Beverages,4.1
86,The Pizza Bakery - Brew & Eatery,150,Pizza,4.1
86,The Pizza Bakery - Brew & Eatery,150, Pasta,4.1
86,The Pizza Bakery - Brew & Eatery,150, Italian,4.1
86,The Pizza Bakery - Brew & Eatery,150, Desserts,4.1
86,The Pizza Bakery - Brew & Eatery,150, Continental,4.1
86,The Pizza Bakery - Brew & Eatery,150, Beverages,4.1
87,Sandwich Guru,150,Sandwich,4.1
87,Sandwich Guru,150, Fast Food,4.1
87,Sandwich Guru,150, Beverages,4.1
